주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
6G2HAfw7rSb6WgRQnN7Es2PLBJNqYr8DdJ7BSGjzpump,223855.00,29445.30,7.60,1832160.00,9
4rbQrrtXcBgK7ohsy83Y58pEbybt2YywGcTT8vpbpump,219310.00,30067.86,7.29,1414070.00,9
GVkka4JZRKUryYHcnAXcaernrG2ZNSYPF6Prrnb6pump,48718.10,29536.94,1.65,132906.00,7
CwwVvUYsg9zR1cwBVLaQbvCkbQLF1eBnoSs98VukDoCJ,33487.80,29394.73,1.14,75659.20,6
AskUuXS3sGi3171Ft1jc4he1rRozPBYPqGV8hYgDnbBb,33991.50,29532.20,1.15,73863.40,4
A6C1zM4nBf8jr8tRxQskytusNQNQT9kpkWKUUjAgpump,182888.00,29655.45,6.17,1949920.00,4
3ZzKNccNAPq3PcjP8Q3vazdzz8zSix22iS76Nc9Fpump,7312.05,29473.74,0.25,4216.72,3
GGTG2EXLAquALnrMECypNgJG5G88voBuwyW52N6Tpump,124746.00,29469.00,4.23,1197280.00,3
2MKghJsPoSZ5XYpbYtT3Y8oWhSFLczqH3DSjgo8hpump,9387.91,29418.44,0.32,6759.08,3
4Q7UJpgqrD51Y9DuJjeKuVnEmanJTbqPRGazVsUZpump,240235.00,37467.50,6.41,2887880.00,3
FBPZgJ6VyDXbZeQHu126ciBNq6JiSsrH6CtY96Anpump,30645.00,29416.86,1.04,76157.00,2
PMDBL1yQcyGHdKpHopcD7n2eGsX5v88UidXTzzJpump,27307.80,29456.36,0.93,59738.00,2
gEjxmMcWRrs8aM8SgwjGfNoLJmNGSppiS5UES4Lpump,28347.00,29457.94,0.96,61200.50,2
8GzgyVScG49VWFwyBLZqCbfYgcv3ft4hj9eikgxXpump,7918.12,29476.90,0.27,4414.17,2
3NC6HjEmJP9otmAYLX2War2i5v9E3m5QuiqtE283pump,23518.30,29391.58,0.80,42525.80,2
5vb8AXytbQenTds4xKinp1FEoWAK7xoiNZw6hCh4pump,63808.50,30063.12,2.12,223500.00,2
3X2FSKcBA6PTuD57S2gd6qoyzKw6LiMS8T2N8GQHY91w,100485.00,93180.00,1.08,105776.00,1
3NGveLHcmLjLYz7wsuBhTrVsoFgz8BEiYBLgkSiqpump,17163.70,29426.34,0.58,23634.60,1
5JnyA9PQLbjYs5kq2v9DZSjruSHeU7ZYfwwRj8b1pump,8744.28,29472.16,0.30,6110.33,1
bMYGoLcahVFx47fMmKNpBf9rdmzqiZgDWpyCis9pump,31425.40,29423.18,1.07,73678.60,1
83iBDw3ZpxqJ3pEzrbttr9fGA57tttehDAxoFyR1moon,67537.30,30571.38,2.21,332227.00,1
BPw96AcGSkc9czVphARHU4RCcbNSEbqZYiNd7grepump,89642.40,29584.35,3.03,572419.00,1
BYZ9CcZGKAXmN2uDsKcQMM9UnZacija4vWcns9Th69xb,487483.00,7016.04,69.48,16592900.00,1
2Ti3KMBHuugQ1PHA2wD4ZhgaMLTuG5N5nXm7KMaQpump,69965.20,27894.90,2.51,327859.00,1
